setting,num_features,accuracy,macro_f1,kappa,W_F1,N1_F1,N2_F1,N3_F1,REM_F1,N1_recall
Top 5,5,0.7161084061711738,0.5946195442713587,0.5995523555161102,0.8291582571530334,0.1431027073485174,0.7848451552516991,0.7361058601134215,0.4798857414901214,0.0973115137346581
Top 10,10,0.7636827594298117,0.6551814214167321,0.6659535056820238,0.867045762252911,0.2090311638753445,0.811050364479788,0.7858494135452138,0.6029304029304029,0.1440677966101695
Top 15,15,0.7760896345398017,0.6669509890058047,0.6831659512940705,0.8856223092735523,0.225211542633977,0.8147479060601084,0.8044526901669758,0.60472049689441,0.1516656925774401
Top 25,25,0.7744764474687629,0.6637451733896218,0.6803349598119158,0.8818093949352407,0.21263482280431434,0.8134996931887911,0.8029142536895199,0.607867702330243,0.14114552893045004
All 35,35,0.7727752683756672,0.6583696187220911,0.6772318758065401,0.8793747353020445,0.19548872180451127,0.8127623161240374,0.8061781879826709,0.5980441323971916,0.12536528345996492
